Plot,AGB_tC_ha,BGB_tC_ha,Saplings_tC_ha,Litter_tC_ha,Standing_Dead_tC_ha,Lying_Dead_tC_ha,Soil_tC_ha
389.3,389.2689838,91.4782112,3.939084842,0,1.160828115,11.68371788,65.6
230.1,230.0912751,54.07144965,5.252113122,0,0,9.478796442,13.1
306,306.0485912,71.92141893,1.750704374,0,7.468889509,6.262643355,36
359.1,359.1081252,84.39040943,7.002817496,0,0,7.223400613,142.7
184.2,184.1692727,43.27977908,7.44049359,0,2.221513605,1.022954271,37.9
232.6,232.5594548,54.65147188,6.565141403,0,5.494299921,4.317924167,35.9
199.2,199.2031054,46.81272977,5.689789216,0,0,13.39028351,117.8
168.2,168.1834964,39.52312166,5.252113122,0,1.325892857,6.273058872,32.3
181.4,181.3983208,42.62860539,3.063732655,0,1.696960927,9.315376766,51.2
279.9,279.8754999,65.77074247,2.626056561,0,0,4.949635599,20.4
235.1,235.1381426,55.25746352,3.501408748,0,2.811959508,2.811959508,46.2
314,314.0343058,73.79806187,3.063732655,0,1.956067569,4.211388573,43.3
363.2,363.2422475,85.36192816,5.252113122,0,6.888453798,24.37384549,53.7
321.1,321.0840312,75.45474734,1.750704374,0,0,11.47526567,90.6
393.5,393.4607045,92.46326556,1.750704374,0,0,2.720407792,38.6
337.2,337.1781759,79.23687134,4.376760935,0,0,6.754263772,31.9
326,325.9640224,76.60154527,3.939084842,0,3.370656821,24.42254212,45.8
295,294.9786827,69.31999044,7.878169683,0,13.84453534,21.84425601,17
346.3,346.2584559,81.37073714,9.191197964,0,7.283720237,4.781558704,20.8
410.6,410.5848376,96.48743683,8.315845777,0,1.700141457,0.331618708,20.1
244.3,244.2974524,57.40990131,4.376760935,0,0,10.8541986,41.6
299.7,299.6799369,70.42478518,3.939084842,0,0,2.738738115,28.6
281.3,281.2839061,66.10171793,4.376760935,0,5.209559675,14.78337694,66.7
524.5,524.5245195,123.2632621,5.252113122,0,0,6.453137824,139
274.1,274.1353835,64.42181513,4.814437029,0,1.324209184,14.93361576,27.3
373.2,373.1589832,87.69236105,2.626056561,0,0,10.44937519,26.7
278.8,278.849794,65.5297016,3.063732655,0,0,22.0768758,38.5
130,129.9942467,30.54864798,3.501408748,0,0,0.419704927,34.7
248.4,248.3929587,58.37234529,5.252113122,0,1.311478875,18.04738589,100.1
278.2,278.1718895,65.37039404,5.689789216,0,5.793261265,2.522510504,25.8
388.3,388.2953287,91.24940223,0.437676094,0,0,0.489162268,33.9
250.2,250.2262694,58.80317331,7.002817496,0,4.119859472,26.35455789,26.8
132.1,132.1220292,31.04867685,8.315845777,0,2.689107143,0.488545418,68.2
