Skid_trail_ID,LIF_tC_km
DTLST001-C,48.57955648
DTLST002-C,51.51608499
DTLST003-C,55.49187818
DTLST004-C,69.02647841
DTLST005-C,42.50711446
DTLST006-C,39.3856965
DTLST007-C,43.44607759
DTLST001-A,54.5613708
DTLST002-A,51.00853735
DTLST003-A,61.2440475
DTLST004-A,55.83023989
DTLST010-A,45.88230624
DTLST011-A,45.46176242
DTLST011-A,67.80836408
DTLST012-A,55.83023989
DTLST013-A,59.89062097
DTLST014-A,51.76985881
DTLST015-A,55.42420178
DTLST001-B,51.26231117
DTLST002-B,48.72457299
DTLST003-B,45.17173955
DTLST004-B,35.52833448
DTLST005-B,48.61178576
DTLST006-A,44.32583021
DTLST006-B,49.73966827
DTLST006-AB,39.92707727
DTLST007-B,37.3047512
DTLST008-B,44.56268239
DTLST009-B,42.63400137
VWST001-H,43.42351991
VWST002-H,53.07497695
VWST003-H,42.08031766
VWST004-H,39.92707727
VWST005-H,40.94217254
VWST006-H,43.98745835
VWST001-C,38.74280622
VWST002-C,38.65820818
VWST003-C,35.14767375
VWST004-C,51.13542426
VWST005-C,52.4175911
VWST006-C,38.25640302
VWST001-E,44.10024558
VWST002-E,43.90287046
VWST003-E,39.9791415
VWST004-E,41.77917949
VWST005-E,38.74280622
VWST006-E,67.63072241
VWST007-E,37.35550596
VWST008-E,36.45114744
STKUR01,44.05513475
STKUR02,48.55539011
STKUR03,55.57646607
STKUR04,62.17458533
STKUR05,53.59703029
STKUR06,51.83753115
STKUR07,52.10822356
STKUR08,44.27338023
STKUR09,46.40406521
STKUR10,41.95727085
STVHL01,44.28556138
STVHL02,37.76154407
STVHL03,39.92707727
STVHL04,42.63400137
STVHL05,40.35003701
STVHL06,44.51903329
STVHL07,56.42204043
STVHL08,38.37060123
STVHL09,40.19777272
STVHL10,38.49241267
